"","logFC.d02","logFC.d04","logFC.d06","logFC.d07","logFC.d08","logFC.d10","logFC.d12","logFC.d14","logCPM","LR","PValue","FDR"
"Cemip",4.37608561062475,4.85421491661335,5.13464500822081,4.6654790571564,2.47197865653035,5.93849438509212,3.57353186046961,2.0801546715947,1.83747161976773,372.696134305841,1.28794219873006e-75,1.99965905774829e-71
"Tnip3",1.39330664918119,2.10846842696027,2.8589612011085,2.31611134264572,1.21180222986336,1.69842268408007,0.785320095245529,-0.398337523373463,2.44135576654405,308.34201059863,6.89791661205309e-62,5.35485266593681e-58
"Il4ra",0.920603140778323,1.12280809141933,1.44868722836188,1.41285554463698,0.969741099365508,1.52075910918833,0.748513527332152,0.597115768678045,6.64448288687823,290.876729781545,3.59579614655642e-58,1.8609443657145e-54
"Sval1",1.91767008890549,2.24414233402957,4.36966731512372,4.51593136912824,4.59968744536572,3.41514626407448,3.33421617202566,2.45214305389431,2.51520837237803,288.870761121308,9.60355595953187e-58,3.7276202456923e-54
"Il11",2.67188766002234,4.88226184159977,4.37247650016057,3.96459634991371,1.40957355966288,4.11916210377245,0.841852331069961,-0.662794230353861,0.050167975240518,277.229186919702,2.86520237200278e-55,8.89702640554304e-52
"Mmp10",5.79748180006044,6.7952600736839,7.17479058480637,6.7965116808397,4.68483838774099,6.49701403988104,4.21280682689343,2.68024438013153,1.80083810921553,256.092008373858,8.80010837814246e-51,2.27717471131733e-47
"Dbp",-1.28650708259962,-1.82609043904966,-3.53781246740443,-2.91178992911975,-1.56310576177858,-1.53465753119639,-1.78807947247832,-1.51618840846326,5.81789801579494,254.97169810466,1.52087389439448e-50,3.37329829776697e-47
"Mmp3",4.85488096536553,6.38445749000642,6.03997329526382,5.74703677079631,2.45664156852767,7.1120759927624,2.88083282988183,1.98216032113589,3.22112938318878,248.010499567508,4.5490594482244e-49,8.82858712414151e-46
"Prss22",6.94749160062933,8.48650600331341,8.9103812888007,8.18024773022505,6.8004770815177,8.1148828436252,6.74152220140468,3.49884950912443,0.487382817790069,239.847428929505,2.43930063351847e-47,4.20806462622308e-44
"Il1r2",0.463173640438902,1.18716954483402,1.83822284988696,1.42615532919811,0.630892335536544,3.05156792135788,-0.446488861494326,-0.32420769688034,0.680155954177805,233.780128795381,4.69531434208869e-46,7.2899450475269e-43
"Cyp1b1",2.2121266776801,3.88303429038806,3.20761309255027,3.26752949212321,0.87199465254617,3.93542560886993,1.47199386539929,0.715069299109573,1.21584538704348,228.875251588333,5.12105957199234e-45,7.22814281043209e-42
"Slc10a2",-0.730651571653505,-1.23026821824783,-1.90025381422685,-2.01842619893385,-1.14601503036889,0.0350100750751707,0.0738334513166858,-0.510444576276901,5.67960896386976,223.82879835541,5.97576494051607e-44,7.73164387220438e-41
"Mfsd2a",1.79667262281109,2.08780659676252,2.31983209856031,2.0497537372738,-0.315669231978438,0.684882840764439,0.363999813110404,0.116628440019561,2.7034005183539,217.847163154276,1.09728489025098e-42,1.31049578507975e-39
"Mcpt2",2.44761491795721,4.7517687573078,7.11614300900023,7.39915741765994,7.13640469177627,5.08811843877928,6.60765400678359,5.42294204877462,0.363468138991634,199.01848270113,1.02868433164669e-38,1.14081092379618e-35
"A2m",1.10541517260988,3.96445415928795,6.94001204821716,5.96558538969296,3.00980158592672,5.88895870775735,3.09784813907639,2.15937278229384,-0.949562507265725,194.609877731659,8.72393585926265e-38,9.02985521006079e-35
"Gfap",2.06294479436199,2.04434773579915,1.5953275662556,1.47511646285403,0.583972659499432,2.43150265410659,1.55543900134958,1.23181107681364,3.81584291470029,192.743912003806,2.15516271614028e-37,2.09131602067462e-34
"Adamts4",2.77926176765171,3.78432395656423,3.51255312100272,3.77277715014195,2.57977877731074,5.11174166278618,3.03027075621781,2.793392086087,3.5936342660043,189.885279581955,8.60917791547521e-37,7.86271154798048e-34
"Per2",-2.4391248142311,-2.47445369993492,-2.05644683913263,-1.55219897635677,-0.884391389772919,-0.499522281453324,-1.06581709999733,-1.20202532653739,3.59620190722269,181.246453549166,5.63448827060986e-35,4.86005916052715e-32
"Mmp13",1.22230225761394,2.5524610646414,3.00585216394957,2.3649558146651,1.2252666885166,3.306171555098,0.897056707623006,0.808440224393584,2.7579936560071,179.926604774776,1.06669483365463e-34,8.7165810459588e-32
"Ugt8a",-0.547681263861947,-0.600515869278581,-1.71549365934539,-1.92759075478225,-0.731658559354711,0.712164569768668,0.80082159089086,-0.252249133497646,2.7815810065018,179.819238024139,1.12353247484978e-34,8.72198260225886e-32
"Chrdl2",3.05949698516183,4.45890107596638,4.15503792097922,3.82406555401364,1.25730051404684,4.77122795509525,3.57657014995366,2.80027111289903,2.49730265452574,179.129606433005,1.56814881062023e-34,1.15938468731856e-31
"Lbp",0.973711047896342,1.65375551840425,1.88814902287498,1.74506568260152,0.747619354286556,2.55138470316912,0.468081700723954,0.84064590937158,3.71669397519994,178.774410551169,1.86191667831036e-34,1.31400537942939e-31
"Mcpt1",0.653270109182448,3.06270783761588,5.02814619911555,5.20885874168456,5.00550646656628,3.26421848090888,4.57587046347694,3.96083964721259,1.31670535880236,175.116637951001,1.0904591829088e-33,7.36107359732265e-31
"Kng2",2.42920202863148,3.7007300408548,3.32558436649813,3.14391314690285,0.734417043675654,4.23320529036328,2.03942500158431,0.460698549358424,-0.466329992677163,173.804161354856,2.05552127311782e-33,1.3297509702678e-30
"Cyp4b1",-0.655486374143813,-0.948293059452448,-2.16481665690666,-1.7681049064164,-0.723655934962483,0.38721447150079,0.453596559423465,0.556730307108562,6.25146788447857,172.757053241305,3.40813939464453e-33,2.11659088965004e-30
"Ciart",-2.42871178543381,-2.95500870970596,-3.6140074121241,-3.29378051393514,-2.29945603518044,-0.833767979343248,-2.11940436403123,-2.06138466896924,1.92714547761105,165.453151013309,1.15592799635652e-31,6.90266848901207e-29
"Kcne4",0.40974534029843,1.4138675004631,0.620139652818493,0.73597301794796,0.524611736465831,2.92156602455737,0.438654708332119,0.385307018449432,2.98861820426391,164.139947564827,2.17688008573566e-31,1.25178667448636e-28
"Tmigd1",-0.341186177156785,-0.474943061262485,-0.974125281164328,-1.02992945023006,-0.564826323428235,0.387729326455897,0.709688734250625,0.140529288550762,7.3571913014733,162.268815002058,5.36282125074189e-31,2.97368438353638e-28
"Cys1",-1.96821645294886,-1.99315034762583,-2.59179550323318,-1.8202637882147,-1.13662440734348,-2.31128893487875,-1.84506212172936,-1.12340021805534,2.04790697689579,158.308683481494,3.61027679035221e-30,1.93286749817271e-27
"Selp",2.21197278153987,2.82800656394244,2.89903464215536,2.93770131404828,1.84318575401068,3.78564717722414,1.59482791902829,1.87029901548825,2.31679967059118,157.670290777248,4.90872343662341e-30,2.54042800256717e-27
"Csf3",3.09694449122515,5.47648604386822,5.26056936141984,5.06408398780213,1.55809342456108,6.35597962092349,-0.872999730546393,-1.23132483689369,-1.64194666568473,157.57986210819,5.12704397543069e-30,2.5678220891141e-27
"Lcn2",1.5050575192307,3.25425738626432,3.86519848570131,3.85838206325864,1.89263473636612,5.84206182053823,1.30139349063319,1.28169986758138,3.50486553823834,157.251637304332,6.00424589222819e-30,2.91318505383546e-27
"Lpo",-0.873293962949068,-0.881592260094939,-1.4723254446256,-1.30625744581014,-1.38435718014453,0.17839259136915,-0.0254169034218483,-0.113460134012081,5.837117721731,156.322051490739,9.39053685511833e-30,4.41810530947173e-27
"Tmem173",0.879780739992985,1.41498329878175,1.30800125711923,1.40838822421586,0.317646864074475,0.969271240820389,-0.186401186741905,0.163573433470355,3.77268306817931,156.168106508501,1.01123497072198e-29,4.61777475159689e-27
"Tifab",0.284272987611925,0.531385056091472,0.918014226471367,1.05158310092036,0.820005798508052,-0.414767741244455,-0.592893068291924,0.33471342613808,3.03625590625382,153.967685978877,2.91353646899463e-29,1.29244477764602e-26
"Duoxa2",1.16510461315782,2.2544496511181,3.36143191248989,3.20978332041542,2.21672385455657,2.95665491771671,2.13626546701699,0.522524877861722,6.22504339780584,153.906962475631,2.99984774711901e-29,1.29376767004916e-26
"Ms4a4c",0.946212066304265,1.7945183414493,1.74787269127577,2.26001943688034,1.01394464566787,1.75252783804875,-1.12694091997014,0.953094456545715,0.443151474897403,153.119108342481,4.38107959150218e-29,1.83839572263954e-26
"Il6",4.45523375713814,6.97026870034146,6.50251784359575,6.00404530618769,3.24510334048095,6.80104680868951,2.54700492724267,3.08477619995864,-1.3966617377165,151.679764009905,8.74961767404778e-29,3.57490957913858e-26
"Prss27",0.816963088780804,1.62301651438077,1.6234005175585,0.986722391212693,-1.6544661483049,0.665328624391856,-0.64296639756058,-1.10467583487205,0.858462397167552,150.913790634423,1.26418383749585e-28,5.03274827204115e-26
"Spon2",1.47327029606643,2.04839434410206,2.15613540425317,2.19772047544087,1.83098511552276,0.76146570322,1.53662857755418,2.15687242338326,5.92863074441728,150.787526280831,1.34323592401585e-28,5.21377023906751e-26
"Cubn",-0.500501553943867,-0.412284469080185,-1.70507776348684,-1.81474045419294,-0.559108285126259,1.1487122377561,1.1728954438695,0.309284400439917,4.40452598569432,147.537102482578,6.39684722512073e-28,2.4223768296884e-25
"Lgals2",0.705717991982898,1.30385148609966,1.42342317084338,1.07431829214756,-0.538781941531854,-1.08876232484345,-0.579466861214226,-0.7102329467038,3.36246536786975,147.163544345179,7.65289016670636e-28,2.82901839829245e-25
"Ccr2",0.727924894300776,1.69188265699835,2.21079262420301,2.16907786221861,1.6186399204062,1.42572302890794,0.329417087169562,0.879336423624468,2.88321520741059,144.285739182912,3.04340848668164e-27,1.09888279451672e-24
"Csf2rb",0.891390800442216,1.52420442113819,2.05615675747805,1.99994275096925,1.45706218851782,2.00492470598392,0.799937529087827,1.17353908379861,3.65204348184031,143.964449369048,3.55029008516998e-27,1.25276826959884e-24
"Ltf",1.88249197568233,2.43424689365505,3.66383542015399,3.61248027462412,2.23322905164373,3.5835436556457,2.04015616329983,1.64715883453475,0.638219156272366,141.777005307068,1.01296841032744e-26,3.49496611972086e-24
"Zbp1",0.958126507078659,1.28192606150254,1.75006565471716,1.62495876697276,1.21693817772289,0.396799163296409,-0.0672806650092893,0.399565761871026,4.99300013652923,140.448429594387,1.91426446206052e-26,6.46105870390255e-24
"Sstr1",-0.198426608886887,-0.409319296132727,-1.31880866159352,-1.14229821481051,-0.115347858041919,1.21634110958456,1.01213087133737,0.544701491147085,4.50352309585416,138.431276395409,5.02860187164689e-26,1.66115048211042e-23
"Fabp2",-0.81602168798986,-1.63581048239559,-1.71124363182139,-1.75985168851361,-1.6058466374048,-2.79035482117869,-1.84919489808889,-1.18668688630094,7.3145749654631,138.159376431884,5.72750609722263e-26,1.85260957636414e-23
"Pla2g4c",-0.0265579812578054,0.014418912447987,0.586055533189142,0.111612554323609,-0.95083302900488,-2.70132270211255,-2.90019967018483,-2.07103757642258,0.723308777632096,136.711821620658,1.14492672043954e-25,3.62778209419271e-23
"Prnd",-0.629225632480771,-0.981875855454941,1.07303630111181,1.76469970589436,2.98988934616587,-0.322209857544324,1.43245325980184,2.40460186946345,0.223582012686628,135.317544852914,2.23040799746892e-25,6.9258629137405e-23
"Ly6c1",0.608313960613736,0.977761932363346,0.908044814035097,0.827482229315858,0.228903149454633,1.4990725622668,0.0676249393173525,0.164534758195019,5.35408749018556,134.708188558247,2.98478017939886e-25,9.08660726771503e-23
"Timp1",2.31267376276878,3.69376569390572,3.65282055930729,3.35670867517869,1.84186182505112,3.67111478740148,2.07973357850689,2.00383709567121,2.38453625014854,134.213047600058,3.78185999990928e-25,1.12917612228061e-22
"Slfn2",0.388658210476013,0.868449559685172,1.21542358489265,1.27899071170068,0.900940833196203,1.14202131995827,-0.164269182797981,0.468995825411662,3.30307434011997,133.842297081304,4.51505845972166e-25,1.32265655935167e-22
"Ly6g",5.93057758846525,7.58934022080772,8.05361264277047,7.26725490626833,5.84997538395371,9.8560766727743,6.26454370889858,3.28303819006175,3.32708672558122,131.753753797138,1.22463506846605e-24,3.52105260611184e-22
"Inmt",-1.4082169065081,-2.51759612894931,-2.90430741093934,-2.68324571920271,-1.92280515143279,-0.222764009628408,-2.11982496563238,-3.25241948689219,0.884038212300653,131.584547384024,1.32770282197632e-24,3.7479843661826e-22
"Trim15",-0.135246590022846,-0.0876424146424874,1.35037596024261,1.111876811931,0.096994310442214,-0.374058507644563,-0.928910975755549,-1.11470387696632,4.19670690224331,131.471625384748,1.4012649469406e-24,3.88500706539282e-22
"Optc",0.0784195179744504,-0.454908574913063,-0.832911288764734,-0.771063795821995,0.128054906134493,-1.35971836588145,-0.0233495070408675,0.236172227233538,2.95848336553768,130.489782683418,2.23928526155558e-24,6.09949876682665e-22
"Gpx2",0.456489823041206,1.00818457859437,0.982627802165214,0.678585817086142,-0.223255990424052,1.03465645886686,0.398154907232183,0.120368530926639,8.67439724465058,130.284721669606,2.46956629929341e-24,6.61077351083266e-22
"Sphk1",0.776931264877167,1.20779313913552,0.595334104150757,0.526200025653326,0.228218137869594,1.82472920474467,0.17971402376249,0.354905791841679,2.55394778845961,130.169488576402,2.60920576917957e-24,6.86619131733594e-22
"Vldlr",-0.532818005391363,-0.503700088680961,-0.928795307608117,-0.875029414531195,-0.528181963825568,0.810519824055064,0.292870892874649,0.044142440281522,4.2066983241333,129.703406718568,3.25923941211581e-24,8.43382518541833e-22
"Duoxa1",0.649553166714793,1.66946553614104,2.69267479941657,2.32047663329459,1.55751924074044,2.15391060129312,1.06296511210522,-0.0363405488626096,0.221544357619508,129.517361625482,3.56184111015986e-24,9.06576148792492e-22
"Mmp8",1.8344410797691,4.58451298656036,6.08186738304994,5.76633081631309,4.9257322852421,8.73030471735228,3.65030139098607,2.11880662589218,-0.530590248698428,128.738217489601,5.1656575334354e-24,1.29358062684061e-21
"Gm14137",0.972660730027722,1.57741722428131,2.57248664474064,1.94881638520089,1.28299590419102,1.113381059441,0.877677989006149,0.171455978184334,1.67500474173404,128.576843438186,5.57903549695556e-24,1.36014541512429e-21
"Nos2",0.630495455855387,2.50319779188119,4.39462990524083,3.9678333751959,2.27787167826295,3.15907897451671,0.795886071671602,-0.725923204344664,4.4537210627011,128.566482038427,5.60667954192675e-24,1.36014541512429e-21
"Tfcp2l1",-0.557747985717857,-0.712493174837923,-0.555860866837184,-0.445690248986641,0.181104972947263,0.913792324535835,0.951420570097472,-0.18090811492876,8.46582047767435,127.925101071335,7.61319569447834e-24,1.81849963619186e-21
"Ism1",-0.217530392689144,-0.314353955091337,-0.349090249886947,-0.122894500653843,0.676957740013473,3.56740902516607,1.03026781147884,0.669875767016571,1.40602559568934,127.60915844316,8.85120653288393e-24,2.082179282266e-21
"Sirpb1c",2.29073932141092,3.48742428002095,3.04653739476635,3.44010253004825,0.814563215989169,2.81543695786335,0.202917392967102,0.842647996871558,-0.10506903964759,127.063162664167,1.14832933180134e-23,2.66103898590264e-21
"1700057G04Rik",-0.442191898825636,-1.95216847586915,-2.65069013858474,-3.74535515398246,-2.43404925819913,-3.75844602630033,-1.24941651459528,0.0668322873601538,-0.410544471758834,127.020328769288,1.17202116424824e-23,2.67600008766444e-21
"Reg3g",2.17380478317736,3.75225940415962,5.0340275863063,4.68548379290516,2.09992347537745,2.68968901994716,0.874176653659298,-0.476702185048003,9.63170049973652,126.409887522169,1.5678881531694e-23,3.52797557479829e-21
"Adgrf1",2.41791257918478,2.95349605616081,3.67635096212383,3.33857219267411,1.66196536454076,2.10606364286478,0.596294563475834,1.40753567713862,0.308943736759078,125.662231816944,2.23904138736026e-23,4.96619379716506e-21
"Ccl8",1.98139508072817,3.44255680428622,4.19297222743015,4.34309232332753,3.24582320167713,3.42837045875106,1.88491677333696,2.97990766033055,3.70723677728073,125.46723188286,2.45705670206294e-23,5.37299469806045e-21
