"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PARM1",0.87030574065888,11.253412334252,13.1896705046344,6.99458584029189e-24,4.39722673114668e-20,43.7598534017082
"WNT5A",-1.77743992032321,9.71688454716531,-13.0870789358388,1.16187725882193e-23,4.39722673114668e-20,43.262225646606
"CEBPB",-1.13576918221965,11.9093175443096,-13.0391261337247,1.47343685842065e-23,4.39722673114668e-20,43.0292555957531
"NCF2",-1.93755659637609,9.09270921220379,-12.6799180074255,8.79420287395384e-23,1.83963895079762e-19,41.2768148050317
"ACSL1",-1.97195404373037,10.2990990395767,-12.6487626587301,1.02738688193769e-22,1.83963895079762e-19,41.1242308812197
"GCA",-1.46879165164857,9.97832552469143,-12.6033193919747,1.28917579989154e-22,1.9236651560715e-19,40.9015083708952
"TNFAIP6",-2.87245030308485,8.50283020660309,-12.3992354135093,3.58089704677138e-22,4.5799673228206e-19,39.898934845573
"KCNJ15",-2.79887244440365,7.52310578989644,-12.3702528306466,4.14119562543676e-22,4.63451555431691e-19,39.7562537472423
"IFITM2",-1.08037177407424,12.2086848637373,-12.2477309078746,7.6622207593482e-22,7.34524635588294e-19,39.1522734820357
"C5AR1",-1.74587856563286,8.59353955789725,-12.234136534269,8.20422914764095e-22,7.34524635588294e-19,39.0851800307282
"RGS2",-1.52042680428265,11.3053245327011,-12.1972538949232,9.87649825077642e-22,8.00118513825282e-19,38.9030718566519
"MNDA",-2.27423252798129,9.18348977472985,-12.1808881069292,1.07242512743252e-21,8.00118513825282e-19,38.8222293603333
"TGFBI",-1.20272890563191,11.669695771288,-12.1299123850629,1.38618946046191e-21,9.54658018424267e-19,38.5702816215124
"LILRB3",-1.68371942533254,8.53380884231555,-11.9458998602326,3.50653403086612e-21,2.24242851273889e-18,37.659061927382
"HSPA6",-1.22957808286304,7.52684655913997,-11.9064044554226,4.28085544967506e-21,2.55509992272939e-18,37.463139215355
"NFIL3",-0.947057624670633,9.70909107350356,-11.8109240811995,6.93768194154695e-21,3.71857634929216e-18,36.9890122753875
"HCK",-1.47308238552496,9.34660500848964,-11.8074463679575,7.06085088104174e-21,3.71857634929216e-18,36.9717303330364
"CD14",-1.30665898110992,10.3214747174175,-11.6743123548796,1.38580976277189e-20,6.89286378116484e-18,36.3094936667807
"CSF3R",-1.79468219762545,9.39171941684981,-11.6207378026765,1.81841425681584e-20,8.03776687115414e-18,36.0426554996149
"ITGA5",-1.32862740876234,9.05013133048753,-11.6187706148493,1.83665157006742e-20,8.03776687115414e-18,36.0328538639052
"IL1B",-2.13410658787997,11.4724347752806,-11.6136148172958,1.88532452020816e-20,8.03776687115414e-18,36.007163554698
"JAML",-1.28297067925264,8.93917300156881,-11.578195322686,2.25653900932028e-20,9.18308806838387e-18,35.8306275845358
"ADGRE2",-1.49147303607074,8.42036887293895,-11.5645882550329,2.41790352284648e-20,9.41195227828025e-18,35.7627860044957
"G0S2",-2.27476364448445,10.268410265047,-11.4334067505571,4.7084224556995e-20,1.7564377602449e-17,35.1081396692684
"LILRA6",-1.52721011939672,7.56791396256435,-11.3544584981151,7.03522839475281e-20,2.51945599272888e-17,34.7136477111029
"TNFRSF1B",-0.989529549630139,9.41555424957635,-11.3304690288572,7.94882880971053e-20,2.73714862820532e-17,34.5937034679674
"SLC2A3",-1.99694979048301,9.17545226883964,-11.2561557494026,1.16050682504848e-19,3.84815466839224e-17,34.2219391652374
"CYP4F3",-1.45866801248927,7.77066212464005,-11.2387555685862,1.26808067200168e-19,3.92809352541794e-17,34.1348476624273
"CXCR1",-3.25256316620819,6.62628616679595,-11.2380937991051,1.27236359027276e-19,3.92809352541794e-17,34.1315350443085
"PTGS2",-2.5463756457708,8.51846564428836,-11.2294905423412,1.32938031347489e-19,3.96731398218022e-17,34.0884675848184
"FAM129A",-1.44200757241317,7.90531595422926,-11.1795967838969,1.71431625700714e-19,4.95105595128546e-17,33.8386241261004
"ZFP36",-1.23387680461953,11.5165682797039,-11.169904749912,1.80115453583533e-19,5.0392926747918e-17,33.7900760019529
"MYO1F",-1.30812890067457,9.10276227047206,-11.1281928061175,2.22808785792029e-19,6.04486987635162e-17,33.5810827253763
"TREM1",-2.69114172556692,8.29371108357033,-11.0815345454167,2.82690871707948e-19,7.44391580706253e-17,33.3472031087596
"CTHRC1",-1.65945126717351,9.17500443812245,-11.0601722642721,3.15252458899575e-19,8.03553642549721e-17,33.2400869109615
"BCL2A1",-2.30507706308676,9.92417789507499,-11.0521867793282,3.28367082594915e-19,8.03553642549721e-17,33.200039947035
"FTH1",-0.557825450038929,13.677159169893,-11.0499815839966,3.32084047518594e-19,8.03553642549721e-17,33.1889804266331
