"","x"
"Cemip",1
"Tnip3",1
"Il4ra",1
"Sval1",1
"Il11",1
"Mmp10",1
"Dbp",2
"Mmp3",1
"Prss22",1
"Il1r2",1
"Cyp1b1",1
"Slc10a2",2
"Mfsd2a",3
"Mcpt2",4
"A2m",1
"Gfap",5
"Adamts4",5
"Per2",2
"Mmp13",1
"Ugt8a",6
"Chrdl2",5
"Lbp",1
"Mcpt1",4
"Kng2",1
"Cyp4b1",6
"Ciart",2
"Kcne4",4
"Tmigd1",6
"Cys1",7
"Selp",1
"Csf3",3
"Lcn2",1
"Lpo",2
"Tmem173",3
"Tifab",3
"Duoxa2",1
"Ms4a4c",1
"Il6",1
"Prss27",3
"Spon2",5
"Cubn",6
"Lgals2",3
"Ccr2",1
"Csf2rb",1
"Ltf",1
"Zbp1",3
"Sstr1",6
"Fabp2",8
"Pla2g4c",3
"Prnd",6
"Ly6c1",1
"Timp1",1
"Slfn2",1
"Ly6g",1
"Inmt",8
"Trim15",3
"Optc",7
"Gpx2",1
"Sphk1",4
"Vldlr",6
"Duoxa1",1
"Mmp8",4
"Gm14137",1
"Nos2",1
"Tfcp2l1",6
"Ism1",6
"Sirpb1c",3
"1700057G04Rik",7
"Reg3g",1
"Adgrf1",1
"Ccl8",1
"Nxpe2",7
"Serpina3m",4
"Coro1a",1
"Cd300a",1
"Ciita",3
"Slfn1",1
"Tnf",1
"Myo1g",1
"Cxcl1",1
"Retnlg",1
"Irf5",1
"Tef",2
"Slc35d1",7
"Socs3",1
"Themis2",1
"Sprr2a3",1
"Il10ra",1
"Cpxm1",3
"Myl7",1
"Igsf6",1
"Cd300lb",1
"Cxcl5",1
"Lag3",1
"Sla",1
"Cipc",2
"Alas2",6
"Cyth4",1
"Steap4",4
"Lrg1",1
"Serpina3n",1
"Nfil3",1
"C2cd4b",5
"Slc9a3",6
"Lst1",3
"Gstp3",3
"Slc20a1",2
"Slc35e3",2
"Ptx3",1
"Saa3",4
"Cd300c2",1
"Cd5l",8
"Ripk3",1
"Npc1l1",5
"Greb1",2
"Ly6a",1
"Cd52",3
"Fkbp5",6
"Fcgr4",4
"Lcp1",1
"Stom",1
"Ncf1",1
"Rbp2",6
"Nt5c1a",1
"Clca4b",1
"Tmsb10",3
"Abcg1",4
"Arhgap25",1
"Igfbp5",1
"Parvg",1
"Duox2",4
"Rasl11a",1
"Dhrs9",3
"Trim29",3
"Tyrobp",1
"Lrp8",6
"Fam102a",2
"Ctsc",1
"Ccr5",3
"H2-Aa",3
"Mmp25",1
"S100a11",3
"Cpn2",3
"Il18bp",3
"Capg",3
"Myo1f",1
"Tnfaip8l2",1
"Klf15",6
"Cacna1h",2
"Alpl",5
"Ethe1",7
"Pappa2",4
"Six5",7
"Ank3",2
"Ptprc",1
"Pla2g5",1
"Ren1",5
"Myoc",2
"Csf2rb2",1
"F10",1
"Ms4a18",3
"Insrr",2
"Fxyd5",1
"Gm5431",1
"Hpgd",6
"Tgm1",5
"Hcls1",1
"Dio3",5
"Lrrtm1",7
"Fam26f",3
"Nfam1",1
"Pim3",6
"Sgk1",6
"Retnlb",1
"Anxa8",5
"Fmo2",2
"Sult1d1",2
"Ifitm6",1
"Ifitm3",3
"Akr1c21",7
"Slc10a6",4
"Hgf",1
"Whrn",2
"Per3",7
"Wee1",2
"Fgr",3
"Ctps",4
"Col27a1",5
"Clec4d",4
"Ms4a6c",1
"Clec2d",8
"Samhd1",3
"Fcgr1",1
"Muc1",1
"Olfml3",1
"Lyz2",1
"Kcna5",6
"Fut4",2
"Naaladl1",2
"Nceh1",6
"Tm4sf5",3
"Sp110",3
"Csf3r",1
"E2f2",3
"Slc16a3",1
"Gm13304",3
"Acot5",6
"Reg3b",1
"Bhlhe41",7
"Myot",1
"Apoe",4
"Slc6a6",2
"Stat3",1
"Tgm7",2
"Fam43a",6
"Sult1a1",7
"Dtx3l",1
"Muc6",6
"Aqp4",1
"Cd14",4
"Marco",4
"Flrt3",8
"Rtn4rl2",4
"H2-Eb1",3
"Cyp2d22",6
"Rnase6",3
"Evi2b",1
"Mfap3l",2
"Ifit2",3
"Rgcc",2
"Wisp2",3
"Alox5ap",4
"Clec10a",1
"Slc13a1",6
"Fermt3",1
"Sash3",1
"Vsig1",3
"Nr1d2",2
"Itgax",1
"Il1b",1
"Cd74",3
"Hlf",8
"Lipt2",7
"Fdft1",5
"Krt36",1
"Fmnl1",1
"Ifitm1",1
"Pirb",4
"Sell",1
"Mpeg1",1
"Lox",4
"Ccr1",1
"Agbl2",9
"Pof1b",1
"Igfbp4",5
"B430306N03Rik",1
"Best2",6
"Mgp",4
"Sulf2",1
"Arhgdib",1
"Angpt4",3
"Arntl",5
"Clec4a2",1
"Rasd2",2
"Itgb2",1
"Ifit1bl1",1
"Ugdh",2
"Atp1a1",6
"Cxcl16",1
"Cyba",1
"Fcgr3",1
"Cyp4f18",1
"B3gnt5",1
"Trim40",1
"Aldh1a1",6
"Sirpb1a",3
"H2-DMa",3
"Tap1",1
"Nckap1l",1
"Usp2",2
"Hspb6",5
"Pcsk9",5
"Wfdc17",1
"Klf2",6
"Cyp51",5
"Itgae",1
"Fcgr2b",1
"Ifi205",1
"Msmo1",5
"Slc5a3",7
"Bcl2l15",3
"Wfdc12",1
"Fdps",5
"Cd48",1
"Apobr",1
"Ccl21a",3
"Slc28a3",3
"Ccr7",1
"Odf3b",2
"Arl4d",6
"Ly6f",4
"Clec4a3",1
"Trem2",1
"Fat1",6
"Cd72",1
"Slc22a4",2
"Myrfl",3
"Rac2",1
"Col18a1",1
"Asns",3
"Cebpd",1
"Sppl2a",3
"Gna14",4
"Adam8",4
"Bst1",1
"Akr1c18",1
"Cd68",1
"Mvd",5
"Laptm5",1
"Pld4",1
"G430049J08Rik",1
"Ifi204",3
"Ms4a6d",4
"Ubd",3
"Cd300ld",3
"Cobl",6
"Irf8",1
"Dock2",1
"Lair1",1
"Tsc22d3",6
"Xcr1",1
"Ifi47",3
"Neu1",6
"Slc15a3",1
"Mchr1",2
"Dnase1l3",3
"Lgmn",1
"Tnfrsf1b",1
"Hp",1
"B3galt5",1
"Reg1",8
"Selenbp1",2
"Fpr1",4
"Cpn1",7
"Slc16a11",2
"A4gnt",7
"Foxp2",7
"Glipr2",5
"C2",3
"Inhba",1
"Gm11361",4
"Idi1",5
"Itga2",1
"Lrfn4",2
"Cyp2c69",7
"Draxin",1
"Cdcp1",4
"Adra2a",2
"Gabbr1",6
"Paqr8",8
"Cd86",1
"Ptk6",4
"Higd1a",7
"Flot2",1
"Lgi2",1
"Mmp7",4
"Lrrc25",1
"Plaur",3
"Ces1g",2
"Selplg",1
"Dnaja4",7
"Tspan33",7
"Nlrc5",1
"Rinl",1
"Chil3",4
"Abcc5",6
"Foxl1",5
"Cfp",1
"Sh3bgr",7
"Grem1",1
"Nrxn2",6
"Tnfrsf9",1
"Itgal",1
"Piwil4",7
"Psat1",4
"Aqp1",2
"Ncf4",1
"Itih3",4
"Rhou",2
"Ephx1",7
"Syngr1",9
"Gpt",2
"Spon1",4
"Gli1",5
"Ccl22",3
"Akr1b7",2
"Clec4n",1
"Synm",6
"Lsp1",5
"Plek",1
"H2-DMb1",3
"Ms4a12",1
"Fbxl22",7
"Hmgcs1",5
"Tacr1",5
"Ly86",1
"Aplnr",3
"Gbp2",3
"Anxa9",5
"Aif1",3
"Sp100",3
"Sprr1a",8
"Ccl2",5
"Gpr65",1
"Ank1",5
"Gsap",1
"Xdh",4
"Hk3",1
"Ms4a10",1
"Hbb-bt",6
"AB124611",1
"Tifa",1
"S100a9",4
"Gbp9",3
"Foxp3",1
"Dhrs3",4
"Serpina3i",1
"Hc",7
"Lgals9",3
"Pgap1",4
"H2-M2",5
"Cybb",1
"Eva1c",6
"Rhov",1
"Hba-a1",5
"Acat2",5
"2010109I03Rik",8
"H2-Ab1",3
"Relt",1
"Phlda2",8
"Cd24a",7
"Ldah",1
"Cpm",2
"Cmah",7
"Grhl3",5
"Cd302",1
"Fmo5",7
"Ifi207",1
"Coq10b",7
"Tppp",7
"Galnt15",6
"Scd2",9
"Spi1",1
"Chst13",1
"Apoo",8
"Fa2h",2
"Fgf23",1
"Sp140",1
"Clec4a1",1
"Gapt",3
"Nxpe5",1
"Msr1",1
"C1qb",1
"Tarm1",1
"Prg4",8
"Apol10b",8
"Il18",1
"Stk17b",7
"Plekhh1",6
"Arhgef26",2
"Lcp2",1
"Arhgap30",1
"Ybx2",9
"Tgm3",7
"Vsig2",7
"Ankrd9",7
"Ms4a4a",4
"Tlr13",4
"Myl4",5
"Slc17a2",7
"Siglece",4
"Itgb7",1
"Dnah17",1
"P2ry4",6
"Evi2a",3
"Net1",1
"Clec12a",3
"Ms4a6b",1
"Hbb-bs",5
"Rdh16",3
"Ecscr",5
"Gsdmc3",8
"Car2",7
"Iigp1",3
"Trim10",1
"Gbe1",2
"Grik2",8
"Eln",1
"F830016B08Rik",3
"Cxcr3",1
"Rasl10b",6
"Nucb2",5
"Prtn3",1
"Batf2",3
"Stat1",3
"Pln",8
"Khdc1a",4
"Lpar3",8
"Mvk",5
"Ly6c2",3
"Il33",3
"Capn11",5
"Ptafr",1
"Chpt1",7
"Cebpb",4
"Ifi209",1
"Parp9",3
"H2-Q7",3
"Bmper",4
"Spsb4",8
"Thpo",1
"Slc22a12",6
"Il34",1
"E130208F15Rik",6
"Sult4a1",6
"Psmb9",3
"Insl5",6
"Slamf8",1
"Dclk1",5
"Insig1",5
"Hipk2",2
"Tubb3",4
"Ms4a4b",1
"Bdkrb1",1
"Repin1",2
"Gbp2b",3
"Nfkbie",1
"Npy4r",5
"Mmp14",4
"Slamf7",1
"Pla2g7",1
"Adgre4",1
"Ackr1",5
"Unc93b1",1
"Plxnc1",4
"Fpr2",1
"Srgn",1
"Slc5a8",3
"B4galnt2",8
"Tlr11",3
"Slc16a9",7
"Plac8",3
"Fabp6",7
"Il1rl1",3
"Lrp2",8
"Abcb1a",2
"Inf2",8
"Cyp2w1",8
"Hpn",7
"Snai1",5
"Tmcc3",3
"Tgtp2",3
"Tlr9",1
"Gm4951",3
"Sh2d2a",1
"Cd5",1
"Scara5",4
"Slc4a8",9
"Pilra",1
"Ccl7",3
"Stat4",1
"Pglyrp1",1
"Zfp993",5
"Nts",5
"Ppp1r3b",8
"Gm2a",1
"Amz1",5
"Btk",3
"Mybpc2",4
"Axin2",7
"Stk10",7
"Cyp27a1",6
"Rnf208",2
"Igtp",3
"Rasa4",1
"Cyp3a13",6
"Edar",5
"Gpr182",4
"Rab11fip4",2
"Rimkla",2
"Tnfrsf1a",1
"Ly6i",1
"Aldh1l1",3
"Rps29",1
"Chd5",6
"Rnf125",1
"Il21r",1
"Pde11a",1
"Sqle",5
"Celsr2",2
"Nccrp1",8
"Cd3e",3
"Spn",1
"Cd84",1
"Hsd11b2",6
"Ikzf1",1
"Inpp5d",1
"Arhgap40",5
"Rassf4",1
"Tns4",7
"Alox15",3
"Gm5150",1
"Gusb",1
"Clec4e",1
"Fcer1g",1
"Npl",1
"Sult1c2",7
"Cebpe",1
"Zc3h12a",4
"Abcg3",1
