"","day0","day2","day4","day6","day7","day8","day10","day12","day14"
"Cemip",0,3.07799823179705,4.36688905782449,4.22546071493484,3.88881280773108,3.69223858875361,4.0547454334857,3.24727104912246,1.68025355952907
"Tnip3",0,1.2348267057942,2.094636909432,2.32189722669713,2.09990221271408,1.79075151608426,1.3443692972743,0.625833831046251,-0.411239816050373
"Il4ra",0,0.696185906727871,1.09983414656792,1.25768430410397,1.24084950483537,1.19964631218004,1.13795433787184,0.815323748730673,0.483179635117749
"Sval1",0,1.48058533980578,2.70671628455773,3.94545966731392,4.2609561915079,4.27420096029405,3.70195884874934,3.08210844098874,2.381239888824
"Il11",0,2.5413861498445,4.11883486633181,3.93741895193215,3.41525264838678,2.93437221395532,2.5484008100923,1.06123432401803,-0.846690053627264
"Mmp10",0,4.21822382618353,6.19129276002406,6.24618080921602,5.82670345467663,5.38324165077637,4.9323108794903,3.72458313780771,2.08024767693311
"Dbp",0,-1.16584918508435,-2.16429400762127,-2.75114256700096,-2.56287507982808,-2.168400322648,-1.64717190356255,-1.55968538361811,-1.49101470618728
"Mmp3",0,3.74120501620809,5.52085985212944,5.23545211076072,4.70649662158131,4.32734871662569,4.48439782713836,3.12154677353182,1.3885980049363
"Prss22",0,5.1496984697387,7.65578734632089,7.84288367462695,7.46521100061851,7.11083328406338,6.79917314570684,5.55622688697689,3.0723681125164
"Il1r2",0,0.583288795308642,1.17054870903338,1.49586633440313,1.51615967488496,1.57228480743701,1.66263723487102,0.488427881584686,-0.501468750647767
"Cyp1b1",0,2.02426657995215,3.19143538656112,2.97409579177475,2.60647768927661,2.33351625127169,2.46003799006649,1.67036173682236,0.532953213348623
"Slc10a2",0,-0.728753762148639,-1.3852097107506,-1.73852534794399,-1.59443972344442,-1.20222751468638,-0.288735453761537,-0.0172023329964304,-0.340584429320891
"Mfsd2a",0,1.35770473365062,1.98349599234693,1.73762427150197,1.24102431028612,0.671384117684845,0.225205532827162,0.0905507449222065,-0.0734794415544292
"Mcpt2",0,2.53705861447317,4.9719539658253,6.75925989916364,7.05408581680339,6.90869611609622,6.13065768213519,5.96668827558854,5.57377212018651
"A2m",0,1.91459062043834,4.30015619010819,5.80530003371602,5.68237167186565,5.29211346921465,4.93135437004909,3.74126385433434,2.34390047810083
"Gfap",0,1.33077184813222,1.66242082907534,1.29142135605573,1.09965364412291,1.05923878335406,1.4588068799845,1.37385519361087,0.980409444768634
"Adamts4",0,2.15229393143115,3.24053090232675,3.31684796805469,3.26416703495832,3.31302933954346,3.72048092228106,3.18994731952862,2.46199570693919
"Per2",0,-1.63599938040999,-2.11551352147795,-1.61680969949469,-1.18092145147336,-0.762698965172731,-0.358492178946019,-0.548589317974549,-0.859002011983332
"Mmp13",0,1.30119042462249,2.31355398216937,2.52657285289134,2.34978940383234,2.20515701675435,2.19930242242921,1.41175953345832,0.660674969702228
"Ugt8a",0,-0.489074029860426,-1.01151376960288,-1.46802195555331,-1.32177728763606,-0.840736151576624,0.305266359664177,0.589703264146497,-0.0104094150570757
"Chrdl2",0,2.50945461290825,3.79290216334322,3.53029797418371,3.09267198452767,2.81382675096935,3.35319062557183,3.29871849127052,2.6165418984891
"Lbp",0,0.893571871866534,1.50166830430216,1.63400571988386,1.55368395729338,1.49631071039735,1.55874419540984,0.990752130236428,0.627042651394188
"Mcpt1",0,1.37251511504314,3.30614542929215,4.88351265206212,5.14516223867795,5.02153940845662,4.36649772784682,4.33001588879872,4.25916913977912
"Kng2",0,2.04010222230616,3.10452512162882,2.87088463373076,2.51382689090233,2.3009741116411,2.68117404765591,1.93764164996245,0.376361391671857
"Cyp4b1",0,-0.648303518677072,-1.28719178913886,-1.67395594038389,-1.44890983406304,-0.962650830487781,0.0508552066951287,0.505178558472579,0.628193378464839
"Ciart",0,-1.86896200061319,-2.91428182148682,-3.07946433903897,-2.73813537758648,-2.18910895583522,-1.31279226977357,-1.47518819227849,-1.83836786967956
"Kcne4",0,0.545878574553033,0.907521054010013,0.810314515504963,0.869824660332048,1.11776017768935,1.69561653209212,1.0569345834854,0.291750212021722
"Tmigd1",0,-0.324422652062877,-0.644607567717538,-0.871068807558958,-0.785067980771298,-0.518853785591288,0.20236615237105,0.522787683842085,0.30088683371791
"Cys1",0,-1.34913156245891,-1.91809206666792,-1.89022816984767,-1.69154104449698,-1.55432873173747,-1.68753600066661,-1.52892546485841,-0.982267522896509
"Selp",0,1.67471187340948,2.52013973476428,2.60882553916586,2.52015885152171,2.46979286807693,2.56224635364957,1.95043197935455,1.49393629032399
"Csf3",0,2.89214137775615,4.73726919035212,4.75669073469663,4.28537480092208,3.83809882896321,3.31052245782875,0.579971633626965,-1.82475847840815
"Lcn2",0,1.62206984445403,2.97554191754369,3.5228459768985,3.52649303612281,3.56085428087035,3.82676716920276,2.39677273162827,1.03988999839262
"Lpo",0,-0.631320591446198,-1.03140772007304,-1.26953707957637,-1.1996171990432,-0.957590178703531,-0.198345749705559,0.0928074069008503,0.0401877678163329
"Tmem173",0,0.781950359179342,1.24886748923847,1.21179367723159,1.02857354372803,0.79719153797715,0.480965153147615,0.0748943707831007,-0.0371138681146576
"Tifab",0,0.31662047784028,0.660709329461958,0.909752655496176,0.854799982614793,0.612935600668576,-0.12888745968138,-0.345370948097284,0.142323062203094
"Duoxa2",0,1.21097483207305,2.3143797492208,2.97397038801563,2.98804354818016,2.88107695155141,2.68739012263555,1.96655440240366,0.667335802965328
"Ms4a4c",0,0.936217349746375,1.63851510241147,1.8415902614654,1.7444223398567,1.50501222738657,0.839052492534969,-0.010376796306649,0.416276186087411
"Il6",0,3.82009941611385,5.97793481669349,5.84160235797278,5.27541948533556,4.78411310096637,4.51081928514373,3.23447893208913,2.38202104913453
"Prss27",0,0.876498669864888,1.41027222441965,1.02543981645863,0.461413985306617,-0.0681333261451151,-0.218277320363942,-0.572391657587242,-1.13709074248946
"Spon2",0,1.1994235285282,1.9062647976014,2.02702337095195,1.87307526879534,1.59347514910664,1.08031312601025,1.30908700440121,1.94172114528554
"Cubn",0,-0.426075534398082,-0.912503003892385,-1.37962218023336,-1.20006100737655,-0.65382406057158,0.646385281932812,1.02017160575922,0.532462387584543
"Lgals2",0,0.743339555136292,1.25143499498795,1.069409140623,0.597268565305288,-0.0181885551085881,-0.819758661784496,-0.858430399762645,-0.74679614251045
"Ccr2",0,0.857799090808821,1.67331370801264,2.07958412591268,2.02491198355481,1.821868619448,1.25400451066527,0.725335656377502,0.707163516044366
"Csf2rb",0,0.839563700224168,1.5103463502325,1.8557162165705,1.85105137681998,1.77349148049275,1.56859884303531,1.13874111983947,1.00173623928402
"Ltf",0,1.50717747976373,2.54903658545812,3.13464034143718,3.12189620307856,2.99310544788328,2.83350379326999,2.17813938952104,1.46700577408917
