"","mouse","human"
"1","A1bg","A1BG"
"2","A1cf","A1CF"
"3","A2m","A2M"
"4","A3galt2","A3GALT2"
"5","A4galt","A4GALT"
"6","A4gnt","A4GNT"
"7","Aaas","AAAS"
"8","Aacs","AACS"
"9","Aadac","AADAC"
"10","Aadacl2","AADACL2"
"11","Aadacl3","AADACL3"
"12","Aadacl4","AADACL4"
"13","Aadat","AADAT"
"14","Aaed1","AAED1"
"15","Aagab","AAGAB"
"16","Aak1","AAK1"
"17","Aamdc","AAMDC"
"18","Aamp","AAMP"
"19","Aanat","AANAT"
"20","Aar2","AAR2"
"21","Aard","AARD"
"22","Aars","AARS"
"23","Aars2","AARS2"
"24","Aarsd1","AARSD1"
"25","Aasdh","AASDH"
"26","Aasdhppt","AASDHPPT"
"27","Aass","AASS"
"28","Aatf","AATF"
"29","Aatk","AATK"
"30","Abat","ABAT"
"31","Abca1","ABCA1"
"32","Abca12","ABCA12"
"33","Abca13","ABCA13"
"34","Abca17","ABCA17P"
"35","Abca2","ABCA2"
"36","Abca3","ABCA3"
"37","Abca4","ABCA4"
"38","Abca5","ABCA5"
"39","Abca6","ABCA6"
"40","Abca7","ABCA7"
"41","Abca8a","ABCA8"
"42","Abca8b","ABCA8"
"43","Abca9","ABCA9"
"44","Abcb1a","ABCB1"
"45","Abcb10","ABCB10"
"46","Abcb11","ABCB11"
"47","Abcb4","ABCB4"
"48","Abcb5","ABCB5"
"49","Abcb6","ABCB6"
"50","Abcb7","ABCB7"
"51","Abcb8","ABCB8"
"52","Abcb9","ABCB9"
"53","Abcc1","ABCC1"
"54","Abcc10","ABCC10"
"55","Abcc12","ABCC12"
"56","Abcc2","ABCC2"
"57","Abcc3","ABCC3"
"58","Abcc4","ABCC4"
"59","Abcc5","ABCC5"
"60","Abcc6","ABCC6"
"61","Abcc8","ABCC8"
"62","Abcc9","ABCC9"
"63","Abcd1","ABCD1"
"64","Abcd2","ABCD2"
"65","Abcd3","ABCD3"
"66","Abcd4","ABCD4"
"67","Abce1","ABCE1"
"68","Abcf1","ABCF1"
"69","Abcf2","ABCF2"
"70","Abcf3","ABCF3"
"71","Abcg1","ABCG1"
"72","Abcg2","ABCG2"
"73","Abcg4","ABCG4"
"74","Abcg5","ABCG5"
"75","Abcg8","ABCG8"
"76","Abhd1","ABHD1"
"77","Abhd10","ABHD10"
"78","Abhd11","ABHD11"
"79","Abhd12","ABHD12"
"80","Abhd12b","ABHD12B"
"81","Abhd13","ABHD13"
"82","Abhd14a","ABHD14A"
"83","Abhd14b","ABHD14B"
"84","Abhd15","ABHD15"
"85","Abhd16a","ABHD16A"
"86","Abhd16b","ABHD16B"
"87","Abhd17a","ABHD17A"
"88","Abhd17b","ABHD17B"
"89","Abhd17c","ABHD17C"
"90","Abhd18","ABHD18"
"91","Abhd2","ABHD2"
"92","Abhd3","ABHD3"
"93","Abhd4","ABHD4"
"94","Abhd5","ABHD5"
"95","Abhd6","ABHD6"
"96","Abhd8","ABHD8"
"97","Abi1","ABI1"
